Original Text	Language	English Text	Category	Priority
লাইন খুব বড়	Bengali	Queue is very long	Office	Low
কাজ খুব ধীরে হয়	Bengali	Work is very slow	Office	Low
ভাড়া অনেক বেশি	Bengali	Charges are too high	Transport	Medium
পরীক্ষা দেরিতে হচ্ছে	Bengali	Exam is delayed	Academics	Medium
লাইব্রেরিতে সমস্যা আছে	Bengali	Library issue	Academics	Medium
পড়ানো ভালো নয়	Bengali	Teaching is poor	Academics	Medium
ফ্যান কাজ করছে না	Bengali	Fan is not working	Infrastructure	High
হোস্টেলে পানি নেই	Bengali	No water in hostel	Hostel	Medium
সিলেবাস শেষ হয়নি	Bengali	Syllabus not completed	Academics	Low
বাসে অনেক ভিড়	Bengali	Bus is overcrowded	Transport	Low
রুম নোংরা	Bengali	Room is dirty	Hostel	Low
হোস্টেলে বিদ্যুৎ নেই	Bengali	No electricity in hostel	Hostel	High
বাস দেরিতে আসে	Bengali	Bus is late	Transport	Low
শিক্ষক পাওয়া যাচ্ছে না	Bengali	Faculty not available	Academics	Medium
হোস্টেলে শব্দ হচ্ছে	Bengali	Noise in hostel	Hostel	High
বিদ্যুৎ সমস্যা আছে	Bengali	Electricity issue	Infrastructure	High
ইন্টারনেট কাজ করছে না	Bengali	Internet is not working	Infrastructure	Low
ট্রান্সপোর্ট নেই	Bengali	Transport not available	Transport	High
স্টাফের আচরণ খারাপ	Bengali	Staff behavior is bad	Office	Medium
অফিস তাড়াতাড়ি বন্ধ হয়	Bengali	Office closes early	Office	Low
ডকুমেন্ট হারিয়ে গেছে	Bengali	Documents are lost	Office	Low
ওয়াইফাই খুব ধীর	Bengali	WiFi is very slow	Infrastructure	Low
হোস্টেলের খাবার খারাপ	Bengali	Hostel food is bad	Hostel	Low
পানির সমস্যা আছে	Bengali	Water problem	Infrastructure	Medium
ড্রাইভিং নিরাপদ নয়	Bengali	Driving is unsafe	Transport	High
ফোন স্ক্রিন হ্যাং হয়ে আছে	Bengali	Phone screen is frozen	Hardware	High
অ্যাপ ইন্সটল হচ্ছে না	Bengali	App is not installing	Software	Medium
কীবোর্ডের স্পেসবার কাজ করছে না	Bengali	Keyboard spacebar is not working	Hardware	Low
মাউসের চাকা ভেঙে গেছে	Bengali	Mouse wheel is broken	Hardware	Low
এসএসডি আপগ্রেড করা দরকার	Bengali	SSD upgrade is needed	Hardware	Medium
মাদারবোর্ডে সমস্যা	Bengali	Problem in motherboard	Hardware	Critical
র‍্যাম কাজ করছে না	Bengali	RAM is not working	Hardware	High
গ্রাফিক্স কার্ড অতিরিক্ত গরম হচ্ছে	Bengali	Graphics card is overheating	Hardware	High
পাওয়ার কেবল পাওয়া যাচ্ছে না	Bengali	Power cable is missing	Hardware	Medium
ব্যাটারির চার্জ খুব দ্রুত শেষ হচ্ছে	Bengali	Battery is draining very fast	Hardware	Medium
ইউএসবি ড্রাইভ রিড করছে না	Bengali	Cannot read USB drive	Hardware	Medium
সিডি/ডিভিডি ড্রাইভ আটকে আছে	Bengali	CD/DVD drive is stuck	Hardware	Low
ওয়েবক্যাম ঘোলা	Bengali	Webcam is blurry	Hardware	Low
স্পিকারের সাউন্ড খুব কম	Bengali	Speaker volume is too low	Hardware	Low
বায়োমেট্রিক স্ক্যানার ফেইল করেছে	Bengali	Biometric scanner has failed	Hardware	High
এইচআর পোর্টালে লগইন করা যাচ্ছে না	Bengali	Cannot log into HR portal	Access	High
পেস্লিপ ডাউনলোডে সমস্যা	Bengali	Problem in downloading payslip	HR	Medium
ছুটির অনুমোদন পেন্ডিং আছে	Bengali	Leave approval is pending	HR	Low
মেডিকেল ক্লেইম বাতিল হয়েছে	Bengali	Medical claim is rejected	HR	High
অফিসের চেয়ার ভেঙে গেছে	Bengali	Office chair is broken	Facilities	Low
সার্ভার রুমে এসি কাজ করছে না	Bengali	AC is not working in server room	Infrastructure	Critical
বায়োমেট্রিক হাজিরা রেকর্ড হয়নি	Bengali	Biometric attendance is not recorded	HR	Medium
আইডি কার্ড অ্যাক্সেস ডিনাইড	Bengali	ID card access denied	Access	High
অফিসের ডেস্কের চাবি হারিয়ে গেছে	Bengali	Office desk key is lost	Facilities	Medium
একটি সেকেন্ডারি মনিটর দরকার	Bengali	Need a secondary monitor	Hardware	Low
