text	category	priority
Professor does not teach well	Academics	High
Hostel food is not good	Hostel	Medium
Books not available in library	Library	Medium
WiFi is not working	Infrastructure	High
Fees are too high	Finance	Medium
Water problem in campus	Infrastructure	High
Electricity goes off frequently	Infrastructure	High
Canteen is not clean	Hostel	Medium
Exam schedule not announced	Academics	High
Classroom facilities are poor	Infrastructure	Medium
Lab equipment not working	Academics	Medium
Bus does not come on time	Transport	Medium
Had a fight with roommate	Hostel	Low
Placement cell is not working	Placement	High
Toilets are not clean	Infrastructure	High
Sports facility not available	Extracurricular	Low
No medical facility on campus	Facilities	High
Project guide not available	Academics	High
Insects in hostel room	Hostel	Medium
No parking space on campus	Infrastructure	Low
No ATM on campus	Infrastructure	Low
Computer lab not available	Academics	Medium
AC not working in hostel	Infrastructure	Medium
Guest lecture not organized	Academics	Low
No support for internship	Placement	High
Club activities not happening	Extracurricular	Low
Tutorial classes not useful	Academics	Medium
Study material not provided	Academics	Medium
Professor behavior is bad	Academics	High
No water in washroom	Infrastructure	High
Gym facility not available	Extracurricular	Low
Mess timing is inconvenient	Hostel	Medium
Classroom lighting is poor	Infrastructure	Medium
Course is not updated	Academics	High
Online portal has issues	Administration	High
Bus frequency is less	Transport	Medium
Hostel is too hot	Hostel	Medium
No heater in hostel room	Hostel	Medium
Doctor does not visit regularly	Facilities	High
Exam center is far	Academics	Medium
Revaluation process is slow	Academics	High
Study tours not organized	Academics	Low
Canteen food is expensive	Finance	Medium
Duplicate ID card issued	Administration	Medium
Workshop training not practical	Academics	Medium
Semester fee deadline is short	Finance	High
Sports kit not provided	Extracurricular	Low
Low participation in events	Extracurricular	Low
No CCTV on campus	Infrastructure	High
No night canteen available	Hostel	Low
Too much noise in hostel	Hostel	Medium
Bus driver drives rashly	Transport	High
Attendance system has errors	Academics	High
Projector not working in class	Infrastructure	Medium
Water cooler not working	Infrastructure	Medium
Stationery shop is expensive	Finance	Low
Mobile network is weak	Infrastructure	Medium
No locker facility in hostel	Hostel	Low
Furniture broken in room	Hostel	Medium
Cannot complain to warden	Hostel	Medium
Medical leave process is hard	Administration	High
Extra classes not informed	Academics	Medium
Syllabus is too lengthy	Academics	Medium
Teacher does not explain well	Academics	High
