Original Text	Language	English Text	Category	Priority
प्रोफेसर क्लास नहीं लेते	Hindi	Professor doesn't take classes	Academics	High
हॉस्टल का खाना खराब है	Hindi	Hostel food is bad	Hostel	Medium
लाइब्रेरी में किताबें नहीं मिलती	Hindi	Books not available in library	Library	Medium
वाईफाई काम नहीं करता	Hindi	WiFi is not working	Infrastructure	High
फीस बहुत महंगी है	Hindi	Fees are too expensive	Finance	Medium
पानी की समस्या है	Hindi	Water problem exists	Infrastructure	High
बिजली बार बार जाती है	Hindi	Electricity goes frequently	Infrastructure	High
कैंटीन में सफाई नहीं है	Hindi	Canteen is not clean	Hostel	Medium
परीक्षा का शेड्यूल देर से मिला	Hindi	Exam schedule received late	Academics	High
क्लासरूम में पंखे खराब हैं	Hindi	Classroom fans are not working	Infrastructure	Medium
प्रैक्टिकल लैब में उपकरण पुराने हैं	Hindi	Lab equipment is outdated	Academics	Medium
बस समय पर नहीं आती	Hindi	Bus does not come on time	Transport	Medium
रूममेट से झगड़ा हो गया	Hindi	Had a fight with roommate	Hostel	Low
प्लेसमेंट सेल मदद नहीं करता	Hindi	Placement cell is not helpful	Placement	High
मार्कशीट में गलती है	Hindi	Error in marksheet	Academics	High
स्कॉलरशिप नहीं मिली	Hindi	Did not receive scholarship	Finance	High
टॉयलेट साफ नहीं हैं	Hindi	Toilets are not clean	Infrastructure	High
स्पोर्ट्स सुविधाएं कम हैं	Hindi	Sports facilities are limited	Extracurricular	Low
मेडिकल सुविधा नहीं है	Hindi	No medical facility available	Health	High
रजिस्ट्रेशन प्रक्रिया जटिल है	Hindi	Registration process is complex	Administration	Medium
असाइनमेंट की डेडलाइन कम है	Hindi	Assignment deadline is too short	Academics	Medium
प्रोजेक्ट गाइड नहीं मिल रहा	Hindi	Project guide not available	Academics	High
हॉस्टल में कीड़े हैं	Hindi	Insects in hostel room	Hostel	Medium
पार्किंग की जगह नहीं है	Hindi	No parking space available	Infrastructure	Low
एटीएम कैंपस में नहीं है	Hindi	No ATM on campus	Infrastructure	Low
कंप्यूटर लैब में सिस्टम धीमे हैं	Hindi	Computer lab systems are slow	Academics	Medium
प्रिंटआउट महंगा है	Hindi	Printout is expensive	Finance	Low
सेमिनार हॉल में एसी नहीं चलता	Hindi	AC not working in seminar hall	Infrastructure	Medium
गेस्ट लेक्चर नहीं होते	Hindi	Guest lectures don't happen	Academics	Low
इंटर्नशिप के लिए सपोर्ट नहीं मिलता	Hindi	No support for internship	Placement	High
हॉस्टल की फीस बढ़ गई	Hindi	Hostel fee increased	Finance	Medium
क्लब एक्टिविटीज कम हैं	Hindi	Club activities are few	Extracurricular	Low
सिक्योरिटी गार्ड बदतमीज है	Hindi	Security guard is rude	Administration	Medium
लाइब्रेरी जल्दी बंद हो जाती है	Hindi	Library closes early	Library	Medium
ट्यूटोरियल क्लास नहीं होती	Hindi	Tutorial classes don't happen	Academics	Medium
रिजल्ट देर से आता है	Hindi	Results come late	Academics	High
स्टडी मटेरियल नहीं दिया जाता	Hindi	Study material not provided	Academics	Medium
